sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Dist. to Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Profile 1;Profile 2;Profile 3
41.161;754;;60s;Yes;No;3;0.70421;0.93500;0.00000;0.34335;2.35841;ParsAgent@1942377692;Mercury@2109159838;Group11@828777964;0.9349999999999999;0.7042127493596945;0.719200788494047;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
43.279;607;;60s;Yes;No;3;0.75255;0.88740;0.00000;0.22066;2.45286;ParsAgent@1915428091;Group11@2113699292;Mercury@1269511970;0.8874;0.8129124449590391;0.752547362069993;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
35.002;491;;60s;Yes;No;3;0.78020;1.00000;0.00000;0.00000;2.57962;Group11@1495485943;ParsAgent@483639513;Mercury@100102719;0.7802;1.0;0.7994156026764689;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
58.219;987;;60s;Yes;No;3;0.72520;0.95440;0.00000;0.07422;2.49915;Group11@1024633898;Mercury@350558393;ParsAgent@1517693996;0.7252000000000001;0.954404809659008;0.8195414403791983;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
33.565;479;;60s;Yes;No;3;0.63620;0.97987;0.00000;0.30933;2.41019;Mercury@910313331;Group11@1762389268;ParsAgent@234484205;0.6362000000000001;0.794119562887315;0.9798741622972705;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
58.956;838;;60s;Yes;No;3;0.56900;0.84712;0.15798;0.26727;2.15673;Mercury@1286538288;ParsAgent@289231936;Group11@1728701907;0.5690000000000001;0.8471241896898136;0.7406062770091897;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
42.498;742;;60s;Yes;No;3;0.70421;0.93500;0.00000;0.34335;2.35841;ParsAgent@602793854;Mercury@108646435;Group11@45404461;0.9349999999999999;0.7042127493596945;0.719200788494047;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
43.302;592;;60s;Yes;No;3;0.75255;0.88740;0.00000;0.22066;2.45286;ParsAgent@1659659047;Group11@1960684334;Mercury@85038323;0.8874;0.8129124449590391;0.752547362069993;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
35.031;444;;60s;Yes;No;3;0.78020;1.00000;0.00000;0.00000;2.57962;Group11@778059381;ParsAgent@816089884;Mercury@87529836;0.7802;1.0;0.7994156026764689;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
58.229;955;;60s;Yes;No;3;0.72520;0.95440;0.00000;0.07422;2.49915;Group11@1791212916;Mercury@1489715566;ParsAgent@2137441639;0.7252000000000001;0.954404809659008;0.8195414403791983;party_profile_Hendra.xml;party_profile_Jimmy.xml;party_profile_Thijs.xml
